EXPOCODE	Name	ICEScode	CallSign_WMO	PlatformType	IMO_OS	Institution	EDMO	PI_Institution	PI_EDMO	PI	DOI_link
33GC20040701	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040702	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040721	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040727	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040728	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040729	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040730	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040816	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040908	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20040924	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041006	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041028	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041029	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041104	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041108	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041206	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20041209	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050130	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050131	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050217	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050315	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050316	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050317	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050318	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050406	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050407	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050419	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050420	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050510	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050511	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050512	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050518	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050519	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050617	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050629	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050630	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050712	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050713	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050714	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050721	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050722	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050816	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050817	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050818	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050913	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050914	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20050915	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051004	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051005	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051006	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051018	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051019	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051021	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051115	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051118	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051219	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051220	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20051221	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060221	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060222	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060223	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060322	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060323	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060324	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060407	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060410	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060508	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060523	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060524	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060529	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060530	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060531	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060601	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060602	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060605	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060606	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060626	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060628	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060629	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060711	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060713	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060718	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060719	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060720	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060814	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060816	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060817	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060901	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060914	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20060915	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061004	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061005	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061009	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061010	Gulf Challenger	33GC	WDE6362	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061031	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061101	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061102	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061103	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061104	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061105	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061106	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061107	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
33GC20061108	Oceanus	32OC	WXAQ	31		University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	University of New Hampshire, Institute for the Study of Earth, Oceans & Space	4597	Vandemark, D.; Salisbury, J.	https://doi.org/10.3334/CDIAC/otg.TSM_UNH_GOM
