Cruise No	EXPOCODE	Name	ICEScode	CallSign_WMO	PlatformType	IMO_OS	Institution	EDMO	PI_Institution	PI_EDMO	PI	DOI_link
1	06AQ19840719	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Gotthilf Hempel	https://doi.org/10.3334/cdiac/otg.carina_06aq19840719
2	06AQ19860627	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	E.Augstein	https://doi.org/10.3334/cdiac/otg.ant_v2_1986
3	06AQ19870704	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	J. Thiede	https://doi.org/10.3334/cdiac/otg.06aq19870704_ark_iv_3
4	06AQ19890906	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Eberhard Fahrbach	https://doi.org/10.3334/cdiac/otg.antviii_2
5	06AQ19901117	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.sr04_antix_2
6	06AQ19920521	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Peter Lemke	https://doi.org/10.3334/cdiac/otg.woce_a12_antx_4
7	06AQ19920929	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	NIOZ Royal Netherlands Institute for Sea Research	630	V. Smetacek	https://doi.org/10.3334/cdiac/otg.carina_06aq19920929
8	06AQ19921203	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.sr04_antx_7
9	06AQ19930806	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	D.K. Fütterer	https://doi.org/10.3334/cdiac/otg.carina_06aq19930806
10	06AQ19950707	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	Eike Rachor; J.Meincke	https://doi.org/10.25921/rzak-fe29
11	06AQ19960317	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.woce_s04a_antxiii_4
12	06AQ19960712	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Gothenburg	3984	E. Augstein	https://doi.org/10.3334/cdiac/otg.carina_06aq19960712
13	06AQ19980328	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.carina_06aq19980328
14	06AQ20021124	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	D.K. Fütterer	https://doi.org/10.3334/cdiac/otg.clivar_a12_antxx_2
15	06AQ20050122	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E. Fahrbach	https://doi.org/10.3334/cdiac/otg.clivar_a12_ant_xxii_3
16	06AQ20060825	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	P. Lemke	https://doi.org/10.3334/cdiac/otg.clivar_ant_xxiii_7
17	06AQ20070728	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	Ursula Schauer	https://doi.org/10.3334/cdiac/otg.clivar_arkxxii_2
18	06AQ20071128	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	U. Bathmann	https://doi.org/10.3334/cdiac/otg.clivar_a12_ant-xxiv_2
19	06AQ20080210	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	University of Groningen	1596	E.Fahrbach; H.de Baar	https://doi.org/10.3334/cdiac/otg.clivar_a12_antxxiv_3
20	06AQ20101128	Polarstern	06AQ	DBLK	31	8013132	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	Alfred Wegener Institute Helmholtz Centre for Polar and Marine Research	1368	E.Fahrbach	https://doi.org/10.3334/cdiac/otg.clivar_a12_ant_xxvii_2
21	06BE20001128	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	University of Bremen, Institute of Environmental Physics	2449	M. Rhein	https://doi.org/10.3334/cdiac/otg.carina_06be20001128
22	06BE20030525	Sonne	06BE	DFCG	31	6909777	Federal Ministry of Education and Research	1572	University of Bremen, Institute of Environmental Physics	2449	M. Rhein	https://doi.org/10.3334/cdiac/otg.clivar_ar04_06be20030525
23	06GA19960613	Gauss	06G2	DBBX	31	7824883	Federal Maritime and Hydrographic Agency	1850	Dalhousie University - Department of Oceanography	2279	A. Sy	https://doi.org/10.3334/cdiac/otg.carina_06ga19960613
24	06GA20000506	Gauss	06G2	DBBX	31	7824883	Federal Maritime and Hydrographic Agency	1850	Dalhousie University - Department of Oceanography	2279	K.P. Koltermann	https://doi.org/10.3334/cdiac/otg.carina_06ga20000506
25	06M220060523	Maria S. Merian	06M2	DBBT	31	9274197	German Research Foundation	1365	CSIC-IIM/ Institute of Marine Research	279	P. Lherminier	https://doi.org/10.3334/cdiac/otg.clivar_ovide_2006
26	06M220090714	Maria S. Merian	06M2	DBBT	31	9274197	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	M. Rhein	https://doi.org/10.3334/cdiac/otg.clivar_06m220090714
27	06MT19810328	Meteor	06MT	DBBH	31	8411279	German Research Foundation	1365	University of Bremen, Institute of Environmental Physics	2449	Wolfgang Roether	https://doi.org/10.3334/cdiac/otg.mt56_5_06mt19810328
28	06MT19900123	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Lamont-Doherty Earth Observatory, Columbia University	1384	Wolfgang Roether	https://doi.org/10.3334/cdiac/otg.ndp045
29	06MT19901004	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	F. Schott	https://doi.org/10.3334/cdiac/otg.woce_ar4e_06mt19901004
30	06MT19910210	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	Gerold Siedler	https://doi.org/10.3334/cdiac/otg.ndp051
31	06MT19910902	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	Dave Meincke	https://doi.org/10.3334/cdiac/otg.ndp056
32	06MT19920509	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	University of Hamburg, Institute of Oceanography	1156	J. Duinker	https://doi.org/10.3334/cdiac/otg.carina_06mt19920509
33	06MT19920701	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	University of Hamburg, Institute of Oceanography	1156	G. Graf; O. Pfannkuche	https://doi.org/10.3334/cdiac/otg.carina_06mt19920701
34	06MT19921227	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	G. Siedler	https://doi.org/10.3334/cdiac/otg.ndp066
35	06MT19940219	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	F. Schott	https://doi.org/10.3334/cdiac/otg.carina_06mt19940219
36	06MT19940329	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	Thomas Mueller	https://doi.org/10.3334/cdiac/otg.ndp079
37	06MT19941012	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	K.P. Koltermann	https://doi.org/10.3334/cdiac/otg.carina_06mt19941012
38	06MT19941115	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	J. Meincke	https://doi.org/10.3334/cdiac/otg.carina_06mt19941115
39	06MT19960613	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	Kremling	https://doi.org/10.3334/cdiac/otg.carina_06mt19960613
40	06MT19960910	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	CSIC-IIM/ Institute of Marine Research	279	C. Hemleben	https://doi.org/10.3334/cdiac/otg.carina_06mt19960910
41	06MT19970107	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	CSIC-IIM/ Institute of Marine Research	279	T. Muller	https://doi.org/10.3334/cdiac/otg.carina_06mt19970107
42	06MT19970515	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	W. Zenk	https://doi.org/10.3334/cdiac/otg.carina_06mt19970515
43	06MT19970611	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	Klaus-Peter Koltermann	https://doi.org/10.25921/2sgz-b945
44	06MT19970707	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	F. Schott	https://doi.org/10.3334/cdiac/otg.carina_06mt19970707
45	06MT19970815	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	A. Sy	https://doi.org/10.3334/cdiac/otg.carina_06mt19970815
46	06MT19990610	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	W. Zenk	https://doi.org/10.3334/cdiac/otg.carina_06mt19990610
47	06MT19990711	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	F. Schott	https://doi.org/10.3334/cdiac/otg.carina_06mt19990711
48	06MT19990813	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	J. Meincke	https://doi.org/10.3334/cdiac/otg.carina_06mt19990813
49	06MT20010507	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	J. Fischer	https://doi.org/10.3334/cdiac/otg.carina_06mt20010507
50	06MT20010620	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	J. Holfort	https://doi.org/10.3334/cdiac/otg.carina_06mt20010620
51	06MT20010717	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	W. Zenk	https://doi.org/10.3334/cdiac/otg.carina_06mt20010717
52	06MT20011018	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	University of Bremen, Institute of Environmental Physics	2449	W. Roether	https://doi.org/10.3334/cdiac/otg.carina_06mt20011018
53	06MT20020607	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	University of Bremen, Institute of Environmental Physics	2449	M. Rhein	https://doi.org/10.3334/cdiac/otg.carina_06mt20020607
54	06MT20021013	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	D. Wallace	https://doi.org/10.3334/cdiac/otg.carina_06mt20021013
55	06MT20030626	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Institute of Marine Research	1351	J. Mortensen	https://doi.org/10.3334/cdiac/otg.carina_06mt20030626
56	06MT20030723	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	M. Rhein	https://doi.org/10.3334/cdiac/otg.carina_06mt20030723
57	06MT20030831	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	J. Fischer	https://doi.org/10.3334/cdiac/otg.carina_06mt20030831
58	06MT20040311	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	Dalhousie University - Department of Oceanography	2279	D. Wallace	https://doi.org/10.3334/cdiac/otg.carina_06mt20040311
59	06MT20040710	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	University of Bremen, Institute of Environmental Physics	2449	M. Rhein	https://doi.org/10.3334/cdiac/otg.clivar_ar04_06mt20040710
60	06MT20050813	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	University of Bremen, Institute of Environmental Physics	2449	M. Rhein	https://doi.org/10.3334/cdiac/otg.clivar_ar04_06mt20050813
61	06MT20060606	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	P. Brandt	https://doi.org/10.3334/cdiac/otg.met_68_2_2006
62	06MT20060712	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	The Leibniz Institute of Marine Sciences at the University of Kiel (IFM-GEOMAR)	992	A. Körtzinger	https://doi.org/10.3334/cdiac/otg.mt_68_3_2006
63	06MT20091026	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	P. Brandt	https://doi.org/10.3334/cdiac/otg.clivar_mt80_1_2009
64	06MT20110405	Meteor	06M3	DBBH	31	8411279	German Research Foundation	1365	GEOMAR Helmholtz Centre for Ocean Research Kiel	2947	T. Tanhua	https://doi.org/10.3334/cdiac/otg.clivar_06mt20110405
65	09AR19910925	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.pacifica_09ar19910925
66	09AR19930404	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.09ar9391_2
67	09AR19941213	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.09ar9404_1
68	09AR19960822	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.carina_09ar19960822
69	09AR19980228	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	M. Rosenberg	https://doi.org/10.3334/cdiac/otg.09ar19980228
70	09AR20011029	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.clivar_sr03_2001
71	09AR20030103	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	University of New South Wales Climate Change Research Centre	3331	J. Church	https://doi.org/10.3334/cdiac/otg.09ar20030103
72	09AR20041223	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.clivar_i09s_2004
73	09AR20060102	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	M. Rosenberg	https://doi.org/10.3334/cdiac/otg.clivar_s04i_2006
74	09AR20071216	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	M. Riddl; S. Rintoul	https://doi.org/10.3334/cdiac/otg.09ar20071216
75	09AR20080322	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	M. Rosenberg; S. Rintoul	https://doi.org/10.3334/cdiac/otg.clivar_sr03_2008
76	09AR20110104	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.09ar20110104
77	09AR20120105	Aurora Australis	09AR	VNAA	31	8717283	Australian Antarctic Division (AAD), Department of the Environment (DoE), Australian Government	3950	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Rintoul	https://doi.org/10.3334/cdiac/otg.clivar_i09s_09ar20120105
78	09FA19930624	Franklin	09FA	VJJF	31		CSIRO Oceans & Atmosphere	1484	University of New South Wales Climate Change Research Centre	3331	John A. Chruch	https://doi.org/10.3334/cdiac/otg.pacifica_09fa19930624
79	09FA19941112	Franklin	09FA	VJJF	31		CSIRO Oceans & Atmosphere	1484	Flinders University	4266	M. Tomczak	https://doi.org/10.3334/cdiac/otg.pacifica_09fa19941112
80	09FA19950913	Franklin	09FA	VJJF	31		CSIRO Oceans & Atmosphere	1484	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Wijffels	https://doi.org/10.3334/cdiac/otg.woce_ir06_09fa19950913
81	09FA19960507	Franklin	09FA	VJJF	31		CSIRO Oceans & Atmosphere	1484	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	P. McIntosh	https://doi.org/10.3334/cdiac/otg.woce_iss03_09fa19960507
82	09FA20000926	Franklin	09FA	VJJF	31		CSIRO Oceans & Atmosphere	1484	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Wijffels	https://doi.org/10.3334/cdiac/otg.clivar_i02_2000
83	09FA20010524	Franklin	09FA	VJJF	31		CSIRO Oceans & Atmosphere	1484	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	S. Wijffels	https://doi.org/10.3334/cdiac/otg.clivar_p15s_2001
84	09SS20090203	Southern Surveyor	09SS	VLHJ	31	7113002	CSIRO Oceans & Atmosphere	1484	Commonwealth Scientific and Industrial Research Organisation (CSIRO)	3945	B. Sloyan	https://doi.org/10.3334/cdiac/otg.clivar_p15s_2009
85	11BG20060425	Belgica	11BE	ORGQ	31	8222563	Belgian Science Policy Office	1510	University of Liege, Laboratory of Oceanology - Chemical Oceanography Unit	451	Lei Chou	https://doi.org/10.3334/cdiac/otg.belgica_2006_09
86	11BG20060531	Belgica	11BE	ORGQ	31	8222563	Belgian Science Policy Office	1510	University of Liege, Laboratory of Oceanology - Chemical Oceanography Unit	451	A. Borges	https://doi.org/10.3334/cdiac/otg.belgica_2006_11
87	11BG20070510	Belgica	11BE	ORGQ	31	8222563	Belgian Science Policy Office	1510	University of Liege, Laboratory of Oceanology - Chemical Oceanography Unit	451	L.Chou	https://doi.org/10.3334/cdiac/otg.belgica_2007_12
88	11BG20080507	Belgica	11BE	ORGQ	31	8222563	Belgian Science Policy Office	1510	University of Liege, Laboratory of Oceanology - Chemical Oceanography Unit	451	L.Chou	https://doi.org/10.3334/cdiac/otg.belgica_2008_12
89	189119870330	Aircraft			62				University of Victoria - School of Earth and Ocean Sciences	2262	R.W. MacDonald	https://doi.org/10.3334/cdiac/otg.ios_arct_carbn
90	18AW19860910	Arctic IVIK			62		Canadian Coast Guard		University of Victoria - School of Earth and Ocean Sciences	2262	R.W. MacDonald	https://doi.org/10.3334/cdiac/otg.ios_arct_carbn
91	18DD19851029	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
92	18DD19860415	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
93	18DD19870731	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		University of Victoria - School of Earth and Ocean Sciences	2262	R.W. MacDonald	https://doi.org/10.3334/cdiac/otg.ios_arct_carbn
94	18DD19890213	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
95	18DD19910219	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
96	18DD19920203	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
97	18DD19920908	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
98	18DD19930226	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
99	18DD19930514	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
100	18DD19940207	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
101	18DD19940510	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
102	18DD19940906	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	J. Garrett	https://doi.org/10.3334/cdiac/otg.18dd9403_1_2
103	18DD19950207	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
104	18DD19950508	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
105	18DD19950822	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
106	18DD19960219	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
107	18DD19960506	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
108	18DD19960812	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
109	18DD19970212	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
110	18DD19970604	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
111	18DD19970827	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
112	18DD19980219	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
113	18DD19980603	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
114	18DD19980826	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
115	18DD19990209	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
116	18DD19990602	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
117	18DD19990824	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
118	18DD20000208	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
119	18DD20000531	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
120	18DD20000905	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
121	18DD20010206	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
122	18DD20040218	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
123	18DD20040602	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
124	18DD20040821	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
125	18DD20050211	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
126	18DD20060130	John P. Tully	18DD	CG2958	31	8320420	Canadian Coast Guard		Institute of Ocean Sciences	4155	IOS / Canada	https://doi.org/10.3334/cdiac/otg.clivar_line_p_2009
